Département;Nom de Ville;Info;Code Commune;Potentiel Fiscal;Population;Nombre de policiers municipaux;Nombre d'agents de Surveillance de la voix publique;Nombre de gardes-champêtres;Nombre de centres de supervision urbaine (CSU);Personnes pour un policier;Nombre de policiers et de gardes-champêtres;Personnes pour un policier ou un garde-champêtre;KML
01;Beynost;"";043;1606;4475;3;0;0;0;1491;3;1491;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.001206017067914,45.81012100949354,0 5.000240613606781,45.81689396695997,0 5.01981056212137,45.83137249093922,0 5.008036814142089,45.85343544337871,0 4.993588669192848,45.86278017742912,0 4.973003147727604,45.85822326723697,0 4.980970939208604,45.84926526180117,0 4.992917169312348,45.80779951293059,0 5.001206017067914,45.81012100949354,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Biziat;"";046;353;797;0;0;1;0;0;1;797;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							4.953523349151889,46.21422906889701,0 4.96694399659837,46.21759177743683,0 4.967151201864115,46.23095548894615,0 4.957501878319364,46.23261719761805,0 4.941113394516452,46.24924667037452,0 4.935539456366453,46.24950374754015,0 4.932512428050289,46.24356520822381,0 4.923736568023811,46.24135395938858,0 4.919455750802468,46.23551735858235,0 4.910180185142878,46.2345565507015,0 4.938284833166828,46.20527509777163,0 4.938367668818566,46.1984459651083,0 4.953523349151889,46.21422906889701,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Bourg-en-Bresse;"";053;1085;40088;26;8;0;0;1541;26;1541;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.25449206773057,46.17919350307297,0 5.274336847479688,46.19364421921332,0 5.274198590886554,46.20844806531689,0 5.282051687415898,46.21163290880167,0 5.287238789242963,46.22585236299761,0 5.272710900939201,46.22826959986788,0 5.2590980687514,46.22363114702098,0 5.245153212489164,46.22761875902522,0 5.22483660587227,46.22722522713479,0 5.217960376609723,46.22217069809795,0 5.215885446042918,46.21194160298688,0 5.210899046412476,46.2112098938661,0 5.206996949888456,46.19132318845536,0 5.221684122718226,46.19205502254338,0 5.234440771125435,46.18232808804288,0 5.237163125693849,46.17594158163249,0 5.256739653622491,46.1761400437127,0 5.25449206773057,46.17919350307297,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Brégnier-Cordon;"";058;1514;832;0;0;1;0;0;1;832;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.638411604363718,45.62302530458855,0 5.648328348810812,45.62740532563657,0 5.631187137908329,45.63258272898724,0 5.629001092926535,45.63549894610252,0 5.631961193448194,45.63806060771519,0 5.623643950457744,45.64657988521772,0 5.619170214146738,45.66361346220594,0 5.622717131137493,45.6660626357974,0 5.619664848939343,45.66754823902451,0 5.60649356953284,45.66346620770167,0 5.596665406799031,45.66980191169783,0 5.578844987625522,45.6646435480536,0 5.601935871162329,45.65261583093084,0 5.6044385018911,45.63617829164605,0 5.614911038351846,45.62541202211376,0 5.623748035268075,45.61326832676419,0 5.632213832293518,45.61149380413119,0 5.636371729497656,45.61739694767873,0 5.638411604363718,45.62302530458855,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Cessy;"";071;798;3992;2;0;0;0;1996;2;1996;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							6.079484338713632,46.3043917620069,0 6.087789511326025,46.31100669675099,0 6.095917605971848,46.31284970902918,0 6.109947693085021,46.32012743486284,0 6.097162145110313,46.32609906120929,0 6.085278219667041,46.32066310971491,0 6.076132245243753,46.32270376164267,0 6.071543441483658,46.32854089983866,0 6.062038308677016,46.32931041956716,0 6.062528159270744,46.31970901528489,0 6.055217471956023,46.3154987199257,0 6.065333556771928,46.30084451853926,0 6.079484338713632,46.3043917620069,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Ceyzériat;"";072;756;2738;1;0;0;0;2738;1;2738;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.336370937883874,46.18788170667186,0 5.338390941882825,46.19479495160125,0 5.313578215666142,46.19796023584669,0 5.294455759463239,46.19393356536428,0 5.30087610678283,46.18093040439066,0 5.30423652705212,46.17232208490971,0 5.310639487891575,46.16856154832917,0 5.314463267817868,46.17068184942495,0 5.328973883194341,46.16978175801579,0 5.33760358520345,46.16659560019912,0 5.344416264874168,46.17127494691199,0 5.336370937883874,46.18788170667186,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Ceyzérieu;"";073;533;929;0;0;1;0;0;1;929;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.71044594018058,45.81402210705237,0 5.727930091960518,45.81947561828517,0 5.741495539902313,45.81731789259216,0 5.756267413935974,45.81998566341825,0 5.763159151452122,45.82507927215489,0 5.76406967076311,45.83450892664813,0 5.749448509091479,45.83546958223317,0 5.741240377817052,45.84383251312649,0 5.728134452402567,45.84811439260959,0 5.723259658865412,45.85331383027052,0 5.704706905938663,45.86124707033064,0 5.698163219213623,45.86166483878199,0 5.693616575529239,45.83485097984929,0 5.676993923274338,45.82938070631847,0 5.701642919894021,45.8116021726736,0 5.71044594018058,45.81402210705237,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Champdor;"";080;544;464;0;0;1;0;0;1;464;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.629397023975642,46.02493317789276,0 5.621137897152151,46.04133330076633,0 5.6156426747404,46.04629853697912,0 5.599064944768433,46.04404898574027,0 5.587909881676794,46.02449176342397,0 5.568155985479679,46.02163463872674,0 5.554332957205581,46.00692804045887,0 5.554532380895543,46.0059324834791,0 5.607410257583307,46.00177241511064,0 5.630176807519418,46.00770613873897,0 5.629397023975642,46.02493317789276,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Châtillon-en-Michaille;"";091;819;3120;1;0;0;0;3120;1;3120;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.7988966899575,46.10049929996762,0 5.807819075031193,46.11236204564979,0 5.807808292898367,46.12228296093248,0 5.819936530138952,46.12807348091611,0 5.813652943262171,46.13543787485597,0 5.80345190643496,46.14912495015092,0 5.794372918767055,46.15159232911235,0 5.781142650449675,46.16118884340237,0 5.759280465805299,46.16789410967183,0 5.744521052765315,46.16087219931722,0 5.742223193348011,46.1413663376503,0 5.725653463654363,46.12536664420217,0 5.720513792078106,46.106117938179,0 5.739672169186938,46.10689142422109,0 5.77579240810004,46.09723743425921,0 5.790304551305896,46.09786360140802,0 5.7988966899575,46.10049929996762,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Châtillon-sur-Chalaronne;l'ASVP a été recruté du 04/05/12 au 31/10/12;093;1194;4922;3;1;0;0;1640;3;1640;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							4.98251889409032,46.1150930177355,0 4.972171494403677,46.13460376029528,0 4.97774667496345,46.14046088696187,0 4.96710946708852,46.15134673403547,0 4.969016931369645,46.15682637660045,0 4.958286230120832,46.15324666689395,0 4.943330383388616,46.1459641485579,0 4.939154593056299,46.12938048470419,0 4.931056072485904,46.12087123131487,0 4.926273426923959,46.1200517234555,0 4.928490537453807,46.11347458708509,0 4.942325969633607,46.10404192084631,0 4.962924682524563,46.09885941346172,0 4.971597021788159,46.09661028180332,0 4.983280455259367,46.10103666463171,0 4.98251889409032,46.1150930177355,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
