REG;DEP;P12_FNSCOL15P_DIPL0
82;01; 47,168
82;01; 24,798061389
82;01; 12,0
82;01; 17,383458647
82;01; 16,620817844
82;01; 55,473603673
82;01; 22,058823529
82;01; 73,753319209
82;01; 62,380148883
82;01; 33,877403846
82;01; 247,629467818
82;01; 26,0
82;01; 24,0
82;01; 15,0
82;01; 211,847047941
82;01; 183,0
82;01; 52,0
82;01; 108,0
82;01; 39,0
82;01; 53,752712607
82;01; 24,0
82;01; 29,0
82;01; 179,0
82;01; 31,998960499
82;01; 0,963963964
82;01; 53,888794194
82;01; 26,0
82;01; 28,566176471
82;01; 30,113493064
82;01; 8,228571429
82;01; 18,261658031
82;01; 101,903936599
82;01; 44,120608899
82;01; 206,874595722
82;01; 99,417887203
82;01; 89,981062675
82;01; 240,26858225
82;01; 0,0
82;01; 116,51296067
82;01; 47,127739985
82;01; 84,924535903
82;01; 27,832083958
82;01; 26,308967421
82;01; 62,398398398
82;01; 62,456896552
82;01; 8,054794521
82;01; 163,541045776
82;01; 173,199069922
82;01; 104,858670527
82;01; 11,407407407
82;01; 43,608782111
82;01; 3,783904822
82;01; 5,762711864
82;01; 112,548709847
82;01; 24,516743101
82;01; 57,856781803
82;01; 22,43442623
82;01; 79,700739577
82;01; 29,862871928
82;01; 278,374594048
82;01; 0,988372093
82;01; 7,973421927
82;01; 29,661403509
82;01; 45,889745726
82;01; 10,0
82;01; 7,0
82;01; 152,961398096
82;01; 11,874458874
82;01; 334,998282017
82;01; 149,82849276
82;01; 60,863577311
82;01; 54,752788104
82;01; 6,0
82;01; 5,703422053
82;01; 118,050197384
82;01; 10,892156863
82;01; 212,686016267
82;01; 301,435818028
82;01; 60,051778732
82;01; 3,084677419
82;01; 54,419816205
82;01; 12,0
82;01; 11,0
82;01; 11,297297297
82;01; 32,174672489
82;01; 13,87688732
82;01; 35,286624204
82;01; 37,259579597
82;01; 52,333066453
82;01; 5,764705882
82;01; 0,0
82;01; 45,054364464
82;01; 5,0
82;01; 6,493975904
82;01; 4,243478261
82;01; 196,0
82;01; 14,071428571
82;01; 17,365155131
82;01; 43,183098592
82;01; 37,092103383
82;01; 13,682847896
82;01; 85,646817248
82;01; 138,984506766
82;01; 4,0
82;01; 6,348837209
82;01; 41,141637945
82;01; 32,713272543
82;01; 116,0
82;01; 87,224874037
82;01; 18,0864
82;01; 13,0
82;01; 30,604895953
82;01; 3,12
82;01; 42,613562092
82;01; 215,124420115
82;01; 147,970928482
82;01; 133,903377178
82;01; 27,327231121
82;01; 106,056030697
82;01; 9,878872887
82;01; 62,070202099
82;01; 150,317408244
82;01; 424,413839021
82;01; 99,479154256
82;01; 60,216202166
82;01; 34,706033376
82;01; 37,81031614
82;01; 28,505136986
82;01; 5,825072886
82;01; 43,283360791
82;01; 21,669172932
82;01; 6,913934426
82;01; 23,174887892
82;01; 140,95626986
82;01; 377,685042124
82;01; 167,857262281
82;01; 32,055281343
82;01; 416,848609441
82;01; 143,703566917
82;01; 59,597701149
82;01; 9,802371542
82;01; 418,953314554
82;01; 11,097173145
82;01; 83,0
82;01; 70,123212069
82;01; 60,127031428
82;01; 77,0
82;01; 77,0
82;01; 1,067226891
82;01; 2,93814433
82;01; 6,0
82;01; 179,190967397
82;01; 18,705426357
82;01; 476,510737438
82;01; 584,605377406
82;01; 445,222077427
82;01; 266,681766403
82;01; 180,124359178
82;01; 352,266262255
82;01; 314,141939761
82;01; 7,003243797
82;01; 225,067055854
82;01; 227,700602615
82;01; 79,5795584
82;01; 10,723101255
82;01; 47,812622096
82;01; 34,0
82;01; 6,15
82;01; 70,111801242
82;01; 139,685197029
82;01; 166,878231245
82;01; 41,204488778
82;01; 45,0
82;01; 8,0
82;01; 4,0
82;01; 42,834496745
82;01; 17,829436275
82;01; 19,304
82;01; 22,61682243
82;01; 1,089430894
82;01; 13,0
82;01; 18,577777778
82;01; 99,0
82;01; 6,0
82;01; 85,0
82;01; 157,12270437
82;01; 143,501920809
82;01; 157,835648845
82;01; 67,31678487
82;01; 28,787286064
82;01; 5,0
82;01; 11,890087125
82;01; 0,0
82;01; 7,767634855
82;01; 256,21453063
82;01; 77,0
82;01; 6,392857143
82;01; 3,554098361
82;01; 18,975817923
82;01; 19,326180258
82;01; 225,84315605
82;01; 15,280701754
82;01; 284,063117247
82;01; 79,275140457
82;01; 29,213011542
82;01; 15,0
82;01; 10,633333333
82;01; 7,841584158
82;01; 8,049079755
82;01; 37,326291483
82;01; 142,0
82;01; 19,0
82;01; 11,086956522
82;01; 40,409638554
82;01; 75,0
82;01; 45,0
82;01; 49,990531543
82;01; 6,794117647
82;01; 0,961538462
82;01; 13,711610487
82;01; 78,0
82;01; 219,96019192
82;01; 152,0
82;01; 47,812282735
82;01; 61,654017857
82;01; 182,555716842
82;01; 9,0
82;01; 118,0
82;01; 82,0
82;01; 32,0
82;01; 63,03177615
82;01; 133,307189785
82;01; 131,954487876
82;01; 223,67414925
82;01; 29,0
82;01; 6,803738318
82;01; 59,71875
82;01; 23,637279597
82;01; 11,0
82;01; 51,0
82;01; 48,067321178
82;01; 19,42668428
82;01; 97,65625
82;01; 45,122783083
82;01; 58,99993585
82;01; 32,0
82;01; 41,466854725
82;01; 37,0
82;01; 42,0
82;01; 110,663490731
82;01; 54,0
82;01; 19,520688496
82;01; 79,522311798
82;01; 58,408900876
82;01; 27,721393035
82;01; 399,0
82;01; 73,088931968
82;01; 41,8674189
82;01; 45,552867503
82;01; 45,0
82;01; 11,879598662
82;01; 84,497609813
82;01; 166,345205328
82;01; 23,537154989
82;01; 53,352889177
82;01; 10,964788732
82;01; 134,0
82;01; 153,0
82;01; 57,905140207
82;01; 14,0
82;01; 23,47562777
82;01; 19,731285988
82;01; 111,804807692
82;01; 39,81870229
82;01; 65,002473207
82;01; 70,0
