REG;DEP;P13_NSCOL15P_DIPLMIN
82;01; 138,005551857
82;01; 95,580487805
82;01; 847,320489342
82;01; 591,22371186
82;01; 240,110540523
82;01; 380,679793823
82;01; 223,53440367
82;01; 261,0
82;01; 62,783216783
82;01; 150,793548387
82;01; 528,598187802
82;01; 130,472589792
82;01; 26,513513514
82;01; 260,45256745
82;01; 134,123376623
82;01; 157,0
82;01; 150,0
82;01; 31,0
82;01; 134,0
82;01; 440,685227607
82;01; 122,156156156
82;01; 841,691862285
82;01; 379,0
82;01; 308,0
82;01; 663,0
82;01; 10,0
82;01; 478,875090647
82;01; 224,980620155
82;01; 410,463050122
82;01; 142,0
82;01; 113,0
82;01; 214,0
82;01; 206,0
82;01; 37,760273973
82;01; 519,974482569
82;01; 583,780574914
82;01; 420,88862312
82;01; 24,022346369
82;01; 187,078598766
82;01; 23,445114396
82;01; 32,440677966
82;01; 445,875198308
82;01; 90,606060606
82;01; 221,924178602
82;01; 86,797814208
82;01; 326,698534014
82;01; 143,541666667
82;01; 1203,061106797
82;01; 19,0
82;01; 51,827242525
82;01; 135,868852459
82;01; 204,476630517
82;01; 42,0
82;01; 44,26035503
82;01; 536,083077974
82;01; 52,619047619
82;01; 1040,937121314
82;01; 465,632642916
82;01; 295,255990734
82;01; 247,172862454
82;01; 50,586510264
82;01; 45,0
82;01; 467,0
82;01; 41,392523364
82;01; 788,516581221
82;01; 997,544540405
82;01; 265,70857125
82;01; 41,044354839
82;01; 253,0
82;01; 67,482889734
82;01; 57,454545455
82;01; 37,953488372
82;01; 138,136826783
82;01; 51,0
82;01; 270,0
82;01; 175,399697929
82;01; 239,0
82;01; 16,448051948
82;01; 15,0
82;01; 196,899400307
82;01; 21,770833333
82;01; 34,698795181
82;01; 25,652173913
82;01; 666,908410739
82;01; 81,216836735
82;01; 90,847780127
82;01; 165,295774648
82;01; 180,0
82;01; 86,0
82;01; 475,0
82;01; 630,402923823
82;01; 28,775193798
82;01; 41,953488372
82;01; 182,356701968
82;01; 213,351570415
82;01; 356,774763407
82;01; 335,675675676
82;01; 124,032
82;01; 109,831288344
82;01; 225,611688021
82;01; 15,0
82;01; 212,950980392
82;01; 571,53145776
82;01; 515,296041633
82;01; 382,77494574
