DEP;genre;nb_sansdip;Date
77             ;homme;79057;2012
77             ;femme;82286,7;2012
78             ;homme;64977,9;2012
78             ;femme;71006,5;2012
79             ;homme;23282,5;2012
79             ;femme;25477,7;2012
80             ;homme;43495,6;2012
80             ;femme;50356,6;2012
81             ;homme;23532;2012
81             ;femme;28235,4;2012
82             ;homme;17138,4;2012
82             ;femme;19275,2;2012
83             ;homme;57705;2012
83             ;femme;65751,9;2012
84             ;homme;39177,7;2012
84             ;femme;44762,2;2012
85             ;homme;35689,7;2012
85             ;femme;42484,3;2012
86             ;homme;23449;2012
86             ;femme;27008,9;2012
87             ;homme;19180,5;2012
87             ;femme;23361,5;2012
88             ;homme;25245;2012
88             ;femme;30416,2;2012
89             ;homme;23730,2;2012
89             ;femme;26028,1;2012
90             ;homme;8720,8;2012
90             ;femme;10273,4;2012
91             ;homme;67233,1;2012
91             ;femme;68091,7;2012
92             ;homme;69507,1;2012
92             ;femme;79397,6;2012
93             ;homme;152382;2012
93             ;femme;149518,5;2012
94             ;homme;83036,5;2012
94             ;femme;84900;2012
95             ;homme;79816,3;2012
95             ;femme;83143,9;2012
01             ;homme;58919,4;2013
01             ;femme;76068,2;2013
02             ;homme;69589,1;2013
02             ;femme;93872,1;2013
03             ;homme;40902,7;2013
03             ;femme;59772,1;2013
04             ;homme;17365,2;2013
04             ;femme;22957;2013
05             ;homme;13868,7;2013
05             ;femme;17497,2;2013
06             ;homme;117123,5;2013
06             ;femme;150407,3;2013
07             ;homme;37262,3;2013
07             ;femme;47444,2;2013
08             ;homme;34774,6;2013
08             ;femme;49777,3;2013
09             ;homme;18176,3;2013
09             ;femme;23119,9;2013
10             ;homme;36696,8;2013
10             ;femme;51911,6;2013
11             ;homme;43790,4;2013
11             ;femme;56310,9;2013
12             ;homme;31878,1;2013
12             ;femme;42832,5;2013
13             ;homme;212312,8;2013
13             ;femme;264606,2;2013
14             ;homme;72069;2013
14             ;femme;100340,8;2013
15             ;homme;19362,4;2013
15             ;femme;25951,7;2013
16             ;homme;39259,3;2013
16             ;femme;56378,8;2013
17             ;homme;69856,2;2013
17             ;femme;98874,2;2013
18             ;homme;35126,7;2013
18             ;femme;51100,4;2013
19             ;homme;26268,1;2013
19             ;femme;38148,7;2013
21             ;homme;49650,2;2013
21             ;femme;69682,6;2013
22             ;homme;59112,3;2013
22             ;femme;88163,4;2013
23             ;homme;15416;2013
23             ;femme;22318,5;2013
24             ;homme;52570,6;2013
24             ;femme;70701,5;2013
25             ;homme;52000,4;2013
25             ;femme;72715,3;2013
26             ;homme;53893,2;2013
26             ;femme;68544,5;2013
27             ;homme;67033,6;2013
27             ;femme;89033,3;2013
28             ;homme;48479,4;2013
28             ;femme;64586,1;2013
29             ;homme;72177,5;2013
29             ;femme;115467;2013
30             ;homme;84031,7;2013
30             ;femme;106888;2013
31             ;homme;96004,2;2013
31             ;femme;126653,3;2013
32             ;homme;23269,4;2013
32             ;femme;29288;2013
33             ;homme;132936,2;2013
33             ;femme;178830,8;2013
34             ;homme;110198,4;2013
34             ;femme;138237,9;2013
35             ;homme;85158,8;2013
35             ;femme;117299,7;2013
36             ;homme;29559,4;2013
36             ;femme;41683,4;2013
37             ;homme;55593,7;2013
37             ;femme;80041,5;2013
38             ;homme;111862,7;2013
38             ;femme;143874,1;2013
39             ;homme;28700,1;2013
39             ;femme;38767,7;2013
40             ;homme;40327,9;2013
40             ;femme;55369,7;2013
41             ;homme;38885,3;2013
41             ;femme;54810,9;2013
42             ;homme;80321,2;2013
42             ;femme;111504,6;2013
43             ;homme;25178,2;2013
43             ;femme;33371,1;2013
44             ;homme;96106,7;2013
44             ;femme;146772,3;2013
45             ;homme;68208,5;2013
45             ;femme;92573,3;2013
46             ;homme;19915,1;2013
46             ;femme;26772,6;2013
47             ;homme;42338,4;2013
47             ;femme;55549,5;2013
48             ;homme;9457,8;2013
48             ;femme;10739,1;2013
49             ;homme;80328,7;2013
49             ;femme;112107,1;2013
50             ;homme;59024,7;2013
50             ;femme;83819,5;2013
51             ;homme;61132,9;2013
51             ;femme;83254,1;2013
52             ;homme;22839,9;2013
52             ;femme;33153,1;2013
53             ;homme;36595,6;2013
53             ;femme;48323,6;2013
54             ;homme;67566,6;2013
54             ;femme;97640;2013
55             ;homme;22378,8;2013
55             ;femme;31202,2;2013
56             ;homme;69041,7;2013
56             ;femme;102207,9;2013
57             ;homme;104366,4;2013
57             ;femme;152973,3;2013
58             ;homme;25938,6;2013
58             ;femme;38906,2;2013
59             ;homme;260923,2;2013
59             ;femme;381116,9;2013
60             ;homme;91271,3;2013
60             ;femme;114893,1;2013
61             ;homme;37613,2;2013
61             ;femme;50849,7;2013
62             ;homme;160404,6;2013
62             ;femme;243426,7;2013
63             ;homme;61890,2;2013
63             ;femme;87510,7;2013
64             ;homme;56239,1;2013
64             ;femme;81264,8;2013
65             ;homme;22616,9;2013
65             ;femme;32502,3;2013
66             ;homme;53360,9;2013
66             ;femme;73137,9;2013
67             ;homme;91642,7;2013
67             ;femme;134188,3;2013
68             ;homme;70275,5;2013
68             ;femme;102327,9;2013
69             ;homme;152020,9;2013
69             ;femme;200820,9;2013
70             ;homme;29285,4;2013
70             ;femme;39227,2;2013
71             ;homme;62835,6;2013
71             ;femme;93980,2;2013
72             ;homme;61044;2013
72             ;femme;86918;2013
73             ;homme;37663,3;2013
73             ;femme;50683,8;2013
74             ;homme;64915,1;2013
74             ;femme;85302,4;2013
75             ;homme;144401;2013
75             ;femme;184296,6;2013
76             ;homme;133758,7;2013
76             ;femme;192591;2013
77             ;homme;132239,2;2013
77             ;femme;159193,2;2013
78             ;homme;104449,1;2013
78             ;femme;135990,1;2013
79             ;homme;44341,7;2013
79             ;femme;57508,1;2013
80             ;homme;70201,4;2013
80             ;femme;96148,3;2013
81             ;homme;43207,4;2013
81             ;femme;57350,5;2013
82             ;homme;30605,9;2013
82             ;femme;38589,2;2013
83             ;homme;111172,9;2013
83             ;femme;146604,7;2013
84             ;homme;62736,2;2013
84             ;femme;81443,9;2013
85             ;homme;68446,8;2013
85             ;femme;98253,6;2013
86             ;homme;43889,2;2013
86             ;femme;60868,6;2013
87             ;homme;39271;2013
87             ;femme;57543,4;2013
88             ;homme;45327,1;2013
88             ;femme;64422,6;2013
89             ;homme;41858,8;2013
89             ;femme;56546,6;2013
90             ;homme;14169,8;2013
90             ;femme;19888;2013
91             ;homme;111912,1;2013
91             ;femme;134430,8;2013
92             ;homme;108708,1;2013
92             ;femme;144923,7;2013
93             ;homme;209237,4;2013
93             ;femme;224056,5;2013
94             ;homme;130293,1;2013
94             ;femme;154515,3;2013
95             ;homme;119110,2;2013
95             ;femme;142492,8;2013
01             ;homme;35072,1;2010
01             ;femme;37315,9;2010
02             ;homme;42984,5;2010
02             ;femme;49982,2;2010
03             ;homme;20749,5;2010
03             ;femme;24108,8;2010
04             ;homme;9374,7;2010
04             ;femme;10795;2010
05             ;homme;6753,2;2010
05             ;femme;7176,1;2010
06             ;homme;66498;2010
06             ;femme;75562,8;2010
07             ;homme;20274,1;2010
07             ;femme;21982,2;2010
08             ;homme;21146,1;2010
08             ;femme;25827,1;2010
09             ;homme;9874,4;2010
09             ;femme;11443;2010
10             ;homme;21952,4;2010
10             ;femme;25883,9;2010
11             ;homme;25259,7;2010
11             ;femme;30670,3;2010
12             ;homme;15287,9;2010
12             ;femme;17120,1;2010
13             ;homme;136804,1;2010
13             ;femme;158237;2010
14             ;homme;42450,2;2010
14             ;femme;47897,8;2010
15             ;homme;9981,5;2010
15             ;femme;10714,4;2010
16             ;homme;22899,6;2010
16             ;femme;28070,4;2010
17             ;homme;38019,9;2010
17             ;femme;45763,7;2010
18             ;homme;19088,6;2010
18             ;femme;22394,7;2010
19             ;homme;12896,2;2010
19             ;femme;15136,6;2010
21             ;homme;28435;2010
21             ;femme;33569,1;2010
22             ;homme;27313,4;2010
22             ;femme;35017,3;2010
23             ;homme;7499,4;2010
23             ;femme;8375,5;2010
24             ;homme;26323,6;2010
24             ;femme;30243;2010
25             ;homme;30900,9;2010
25             ;femme;35372,9;2010
26             ;homme;30921,7;2010
26             ;femme;33974,8;2010
27             ;homme;42327;2010
27             ;femme;46466;2010
28             ;homme;28556,8;2010
28             ;femme;31299,4;2010
29             ;homme;28695,2;2010
29             ;femme;41206,2;2010
30             ;homme;47773,9;2010
30             ;femme;54425,2;2010
31             ;homme;53090,3;2010
31             ;femme;62255,3;2010
32             ;homme;11716,3;2010
32             ;femme;13243,8;2010
33             ;homme;73952,4;2010
33             ;femme;87716,9;2010
34             ;homme;62433,8;2010
34             ;femme;70959,4;2010
35             ;homme;46452,1;2010
35             ;femme;53893,9;2010
36             ;homme;16622,9;2010
36             ;femme;19140,4;2010
37             ;homme;30729,3;2010
37             ;femme;36977;2010
38             ;homme;70192,1;2010
38             ;femme;75268,8;2010
39             ;homme;16341,7;2010
39             ;femme;18253;2010
40             ;homme;21632;2010
40             ;femme;26592,3;2010
41             ;homme;22359,6;2010
41             ;femme;25604;2010
42             ;homme;50902;2010
42             ;femme;59076,6;2010
43             ;homme;13076,9;2010
43             ;femme;14730,8;2010
44             ;homme;50975,6;2010
44             ;femme;64769,3;2010
45             ;homme;40657,4;2010
45             ;femme;45478,6;2010
46             ;homme;9428,5;2010
46             ;femme;10831,8;2010
47             ;homme;24613,3;2010
47             ;femme;29315,9;2010
48             ;homme;5242,6;2010
48             ;femme;5024,1;2010
49             ;homme;48542,9;2010
49             ;femme;58313,7;2010
50             ;homme;36858,9;2010
50             ;femme;44202;2010
51             ;homme;36999,2;2010
51             ;femme;42545,3;2010
52             ;homme;13563;2010
52             ;femme;16566,8;2010
53             ;homme;22132,5;2010
53             ;femme;25100,3;2010
54             ;homme;42594,2;2010
54             ;femme;52301,1;2010
55             ;homme;13153,3;2010
55             ;femme;15724,6;2010
56             ;homme;32644,6;2010
56             ;femme;43595,2;2010
57             ;homme;72043,5;2010
57             ;femme;97611,7;2010
58             ;homme;14617,8;2010
58             ;femme;18035,9;2010
59             ;homme;157065,2;2010
59             ;femme;202467,6;2010
60             ;homme;58432,6;2010
60             ;femme;63071,6;2010
61             ;homme;22887,9;2010
61             ;femme;25643,6;2010
62             ;homme;90709,7;2010
62             ;femme;123482,6;2010
63             ;homme;30650,8;2010
63             ;femme;35611,3;2010
64             ;homme;28977,6;2010
64             ;femme;37196,5;2010
65             ;homme;10652,5;2010
65             ;femme;13631;2010
66             ;homme;29790,5;2010
66             ;femme;37767,7;2010
67             ;homme;63186,3;2010
67             ;femme;82046,9;2010
68             ;homme;50051,5;2010
68             ;femme;64959,7;2010
69             ;homme;97920,2;2010
69             ;femme;109258,3;2010
70             ;homme;16120,2;2010
70             ;femme;17749,6;2010
71             ;homme;37005;2010
71             ;femme;43975,1;2010
72             ;homme;36527,9;2010
72             ;femme;42247,5;2010
73             ;homme;20144,5;2010
73             ;femme;22085,8;2010
74             ;homme;38072,7;2010
74             ;femme;42432;2010
75             ;homme;100295;2010
75             ;femme;109933,4;2010
76             ;homme;87392,5;2010
76             ;femme;106108,2;2010
77             ;homme;78709,5;2010
77             ;femme;83408,2;2010
78             ;homme;66035,1;2010
78             ;femme;73145,4;2010
79             ;homme;23540,9;2010
79             ;femme;26272,1;2010
80             ;homme;44926,6;2010
80             ;femme;52765,4;2010
81             ;homme;24559,5;2010
81             ;femme;29491,2;2010
82             ;homme;16999,1;2010
82             ;femme;19248;2010
83             ;homme;58102,5;2010
83             ;femme;67886,1;2010
84             ;homme;40799;2010
84             ;femme;46735,3;2010
85             ;homme;36634,2;2010
85             ;femme;44074,2;2010
86             ;homme;24443,1;2010
86             ;femme;28174,7;2010
87             ;homme;19743,2;2010
87             ;femme;24007,2;2010
88             ;homme;26102,3;2010
88             ;femme;31371,2;2010
89             ;homme;24453;2010
89             ;femme;26775,8;2010
90             ;homme;8925,3;2010
90             ;femme;10355,6;2010
91             ;homme;67915,7;2010
91             ;femme;68500,8;2010
92             ;homme;71175,1;2010
92             ;femme;81209,9;2010
93             ;homme;148938,3;2010
93             ;femme;148474,3;2010
94             ;homme;82988;2010
94             ;femme;85747,4;2010
95             ;homme;78410,9;2010
95             ;femme;82760,7;2010
