DEP;P12_HNSCOL15P_DIPL0;P12_FNSCOL15P_DIPL0
01; 84,1497992; 70,123212069
01; 75,158789286; 60,127031428
01; 103,0; 77,0
01; 84,0; 77,0
01; 2,134453782; 1,067226891
01; 4,896907216; 2,93814433
01; 11,0; 6,0
01; 130,981487857; 179,190967397
01; 22,643410853; 18,705426357
01; 379,215563685; 476,510737438
01; 503,406838919; 584,605377406
01; 401,014352092; 445,222077427
01; 280,102538211; 266,681766403
01; 202,734560008; 180,124359178
01; 468,058563437; 352,266262255
01; 264,678689075; 314,141939761
01; 0,0; 7,003243797
01; 199,952150116; 225,067055854
01; 216,464813253; 227,700602615
01; 83,935301063; 79,5795584
01; 2,534384563; 10,723101255
01; 62,266673552; 47,812622096
01; 35,0; 34,0
01; 20,5; 6,15
01; 67,01863354; 70,111801242
01; 104,838899045; 139,685197029
01; 146,640954296; 166,878231245
01; 42,209476309; 41,204488778
01; 37,0; 45,0
01; 14,0; 8,0
01; 4,0; 4,0
01; 39,846043484; 42,834496745
01; 28,972833946; 17,829436275
01; 36,576; 19,304
01; 26,728971963; 22,61682243
01; 4,357723577; 1,089430894
01; 17,0; 13,0
01; 12,711111111; 18,577777778
01; 83,0; 99,0
01; 5,0; 6,0
01; 98,0; 85,0
01; 171,495283336; 157,12270437
01; 140,522872823; 143,501920809
01; 138,675015565; 157,835648845
01; 55,260047281; 67,31678487
01; 25,809290954; 28,787286064
01; 3,0; 5,0
01; 34,920181528; 11,890087125
01; 4,666666667; 0,0
01; 7,767634855; 7,767634855
01; 206,540850139; 256,21453063
01; 77,0; 77,0
01; 5,327380952; 6,392857143
01; 12,439344262; 3,554098361
01; 36,054054054; 18,975817923
01; 28,480686695; 19,326180258
01; 221,934143097; 225,84315605
01; 15,280701754; 15,280701754
01; 199,906975492; 284,063117247
01; 88,550773743; 79,275140457
01; 34,249737671; 29,213011542
01; 18,0; 15,0
01; 10,633333333; 10,633333333
01; 12,742574257; 7,841584158
01; 5,030674847; 8,049079755
01; 40,208591341; 37,326291483
01; 120,0; 142,0
01; 25,0; 19,0
01; 12,934782609; 11,086956522
01; 46,626506024; 40,409638554
01; 72,0; 75,0
01; 42,0; 45,0
01; 42,787152484; 49,990531543
01; 2,911764706; 6,794117647
01; 4,807692308; 0,961538462
01; 19,588014981; 13,711610487
01; 76,0; 78,0
01; 196,964500568; 219,96019192
01; 116,0; 152,0
01; 39,497103129; 47,812282735
01; 65,631696429; 61,654017857
01; 179,571434495; 182,555716842
01; 16,0; 9,0
01; 108,0; 118,0
01; 83,0; 82,0
01; 51,0; 32,0
01; 66,908777304; 63,03177615
01; 138,998332217; 133,307189785
01; 108,013584894; 131,954487876
01; 160,586568693; 223,67414925
01; 27,0; 29,0
01; 3,887850467; 6,803738318
01; 60,666666667; 59,71875
01; 18,498740554; 23,637279597
01; 15,0; 11,0
01; 55,0; 51,0
01; 58,081346424; 48,067321178
01; 32,718626156; 19,42668428
01; 63,4765625; 97,65625
01; 43,117326057; 45,122783083
01; 60,000018092; 58,99993585
01; 41,0; 32,0
01; 45,613540197; 41,466854725
01; 39,0; 37,0
01; 42,0; 42,0
01; 111,990738295; 110,663490731
01; 66,0; 54,0
01; 24,40086062; 19,520688496
01; 84,619895887; 79,522311798
01; 53,440494044; 58,408900876
01; 33,661691542; 27,721393035
01; 323,0; 399,0
01; 74,086225351; 73,088931968
01; 41,8674189; 41,8674189
01; 43,615817901; 45,552867503
